mem_point_,TMRoads_os,TMRoads_fc,lng,lat
48,143564106,primary,113.15187442000,30.60653236250
49,143564106,primary,113.15223981800,30.60619106620
50,143564106,primary,113.15260478900,30.60584931210
51,143564106,primary,113.15296976000,30.60550755710
52,143564106,primary,113.15333473000,30.60516580220
53,143564106,primary,113.15369970100,30.60482404720
54,143564106,primary,113.15406467200,30.60448229220
55,143564106,primary,113.15442964200,30.60414053730
56,143564106,primary,113.15479461300,30.60379878230
57,143564106,primary,113.15516115400,30.60345873150
58,143564106,primary,113.15553147600,30.60312278260
59,143564106,primary,113.15590179800,30.60278683450
60,143564106,primary,113.15627212100,30.60245088560
61,143564106,primary,113.15664244300,30.60211493760
62,143564106,primary,113.15701276600,30.60177898860
63,143564106,primary,113.15738308700,30.60144303970
64,143564106,primary,113.15775340900,30.60110709160
65,143564106,primary,113.15812844300,30.60077653500
66,143564106,primary,113.15851105500,30.60045465330
67,143564106,primary,113.15889366800,30.60013277240
68,143564106,primary,113.15927628100,30.59981089160
69,143564106,primary,113.15965889400,30.59948901070
70,143564106,primary,113.16004150700,30.59916712990
71,143564106,primary,113.16043302900,30.59885639790
72,143564106,primary,113.16083138600,30.59855421940
73,143564106,primary,113.16122974200,30.59825204000
74,143564106,primary,113.16162809900,30.59794986150
75,143564106,primary,113.16202645500,30.59764768210
76,143564106,primary,113.16242481200,30.59734550360
77,143564106,primary,113.16283155100,30.59705479410
78,143564106,primary,113.16324040700,30.59676697960
79,143564106,primary,113.16364926200,30.59647916510
80,143564106,primary,113.16405811700,30.59619135060
81,143564106,primary,113.16446884500,30.59590626640
82,143564106,primary,113.16488469100,30.59562864740
83,143564106,primary,113.16530053700,30.59535102940
84,143564106,primary,113.16571638400,30.59507341140
85,143564106,primary,113.16613223000,30.59479579250
86,143564106,primary,113.16655344400,30.59452641230
87,143564106,primary,113.16697537400,30.59425813190
88,143564106,primary,113.16739730600,30.59398985160
89,143564106,primary,113.16781923600,30.59372157030
90,143564106,primary,113.16824116600,30.59345328990
91,143564106,primary,113.16866309800,30.59318500960
92,143564106,primary,113.16909352300,30.59293112920
93,143564106,primary,113.16953241500,30.59269160100
94,143564106,primary,113.16997130700,30.59245207290
95,143564106,primary,113.17041019900,30.59221254390
96,143564106,primary,113.17084909100,30.59197301570
97,143564106,primary,113.17128798300,30.59173348760
98,143564106,primary,113.17173253900,30.59150471180
99,143564106,primary,113.17217830200,30.59127822740
100,143564106,primary,113.17262406600,30.59105174390
101,143564106,primary,113.17306983000,30.59082525960
102,143564106,primary,113.17351559300,30.59059877610
103,143564106,primary,113.17396135600,30.59037229170
104,143564106,primary,113.17440712000,30.59014580830
105,143564106,primary,113.17485765800,30.58992916700
106,143564106,primary,113.17531148000,30.58971929670
107,143564106,primary,113.17576530200,30.58950942640
108,143564106,primary,113.17621912400,30.58929955610
109,143564106,primary,113.17667704300,30.58909898570
110,143564106,primary,113.17713820500,30.58890577990
111,143564106,primary,113.17759936900,30.58871257400
112,143564106,primary,113.17806053200,30.58851936820
113,143564106,primary,113.17852169500,30.58832616230
114,143564106,primary,113.17898448200,30.58813698900
115,143564106,primary,113.17945086200,30.58795673970
116,143564106,primary,113.17991724200,30.58777649040
117,143564106,primary,113.18038362200,30.58759624020
118,143564106,primary,113.18085000100,30.58741599090
119,143564106,primary,113.18131638100,30.58723574150
120,143564106,primary,113.18178276100,30.58705549220
121,143564106,primary,113.18224914100,30.58687524200
122,143564106,primary,113.18271552000,30.58669499270
123,143564106,primary,113.18318285600,30.58651723990
124,143564106,primary,113.18365032800,30.58633983870
125,143564106,primary,113.18411779800,30.58616243840
126,143564106,primary,113.18458526900,30.58598503730
127,143564106,primary,113.18505274000,30.58580763700
128,143564106,primary,113.18552021000,30.58563023580
129,143564106,primary,113.18598768900,30.58545285360
130,143564106,primary,113.18645516900,30.58527547850
131,143564106,primary,113.18692264200,30.58509808360
132,143564106,primary,113.18738914300,30.58491816070
133,143564106,primary,113.18785502900,30.58473663800
134,143564106,primary,113.18832091400,30.58455511520
135,143564106,primary,113.18878680000,30.58437359160
136,143564106,primary,113.18925268600,30.58419206880
137,143564106,primary,113.18971857100,30.58401054600
138,143564106,primary,113.19018451000,30.58382916270
139,143564106,primary,113.19065217300,30.58365226870
140,143564106,primary,113.19111983600,30.58347537480
141,143564106,primary,113.19158749900,30.58329848080
142,143564106,primary,113.19205516200,30.58312158690
143,143564106,primary,113.19252282500,30.58294469290
144,143564106,primary,113.19299048800,30.58276779990
145,143564106,primary,113.19345770300,30.58258973770
146,143564106,primary,113.19392397500,30.58240920780
147,143564106,primary,113.19439024600,30.58222867790
148,143564106,primary,113.19485660400,30.58204837460
149,143564106,primary,113.19532372600,30.58187005530
150,143564106,primary,113.19579084700,30.58169173500
151,143564106,primary,113.19625796700,30.58151341470
152,143564106,primary,113.19672508900,30.58133509530
153,143564106,primary,113.19719220900,30.58115677510
154,143564106,primary,113.19765933100,30.58097845570
155,143564106,primary,113.19812571600,30.58079822890
156,143564106,primary,113.19859158100,30.58061665480
157,143564106,primary,113.19905744700,30.58043507990
158,143564106,primary,113.19952331300,30.58025350590
159,143564106,primary,113.19998405300,30.58005952030
160,143564106,primary,113.20044228100,30.57985945360
161,143564106,primary,113.20090051000,30.57965938770
162,143564106,primary,113.20135873900,30.57945932090
163,143564106,primary,113.20181596300,30.57925701390
164,143564106,primary,113.20227021600,30.57904807890
165,143564106,primary,113.20272447000,30.57883914390
166,143564106,primary,113.20317872300,30.57863020890
167,143564106,primary,113.20363297600,30.57842127390
168,143564106,primary,113.20407846800,30.57819438400
169,143564106,primary,113.20452270000,30.57796491030
170,143564106,primary,113.20496693300,30.57773543650
171,143564106,primary,113.20541116500,30.57750596370
172,143564106,primary,113.20585480900,30.57727536140
173,143564106,primary,113.20629767400,30.57704326070
174,143564106,primary,113.20674053900,30.57681116010
175,143564106,primary,113.20718272300,30.57657781930
176,143564106,primary,113.20761636600,30.57632891390
177,143564106,primary,113.20805000800,30.57608000860
178,143564106,primary,113.20848365200,30.57583110410
179,143564106,primary,113.20891189300,30.57557302750
180,143564106,primary,113.20933981600,30.57531441300
181,143564106,primary,113.20976774000,30.57505579860
182,143564106,primary,113.21019566300,30.57479718410
183,143564106,primary,113.21061726000,30.57452851080
184,143564106,primary,113.21103568300,30.57425479220
185,143564106,primary,113.21145410700,30.57398107460
186,143564106,primary,113.21187253100,30.57370735600
187,143564106,primary,113.21228910600,30.57343087830
188,143564106,primary,113.21270151900,30.57314818450
189,143564106,primary,113.21311393200,30.57286549160
190,143564106,primary,113.21352634500,30.57258279790
191,143564106,primary,113.21393162100,30.57229006580
192,143564106,primary,113.21433414100,30.57199345410
193,143564106,primary,113.21473665900,30.57169684240
194,143564106,primary,113.21513917900,30.57140023070
195,143564106,primary,113.21553186700,30.57109085320
196,143564106,primary,113.21592147000,30.57077747000
197,143564106,primary,113.21631107500,30.57046408770
198,143564106,primary,113.21670065100,30.57015067040
199,143564106,primary,113.21709022600,30.56983725130
200,143564106,primary,113.21747980000,30.56952383220
201,143564106,primary,113.21786472500,30.56920490020
202,143564106,primary,113.21823935000,30.56887375540
203,143564106,primary,113.21861397400,30.56854261160
204,143564106,primary,113.21898859800,30.56821146680
205,143564106,primary,113.21936322300,30.56788032290
206,143564106,primary,113.21973118100,30.56754178660
207,143564106,primary,113.22009913100,30.56720324220
208,143564106,primary,113.22046708200,30.56686469690
209,143564106,primary,113.22083503200,30.56652615260
210,143564106,primary,113.22120043200,30.56618496150
211,143564106,primary,113.22155239300,30.56582982190
212,143564106,primary,113.22190435300,30.56547468320
213,143564106,primary,113.22225631400,30.56511954360
214,143564106,primary,113.22260827400,30.56476440410
215,143564106,primary,113.22296023500,30.56440926540
216,143564106,primary,113.22329370800,30.56403677070
217,143564106,primary,113.22362594500,30.56366311500
218,143564106,primary,113.22395818200,30.56328945920
219,143564106,primary,113.22429041900,30.56291580350
220,143564106,primary,113.22462265600,30.56254214780
221,143564106,primary,113.22494598200,30.56216085500
222,143564106,primary,113.22526435100,30.56177531570
223,143564106,primary,113.22558272000,30.56138977540
224,143564106,primary,113.22590108900,30.56100423520
225,143564106,primary,113.22621945800,30.56061869490
226,143564106,primary,113.22653782700,30.56023315460
227,143564106,primary,113.22684859000,30.55984179130
228,143564106,primary,113.22713774900,30.55943388580
229,143564106,primary,113.22742690900,30.55902598030
230,143564106,primary,113.22771606800,30.55861807480
231,143564106,primary,113.22800522800,30.55821016930
232,143564106,primary,113.22829438700,30.55780226380
233,143564106,primary,113.22858354700,30.55739435920
234,143564106,primary,113.22887270600,30.55698645370
235,143564106,primary,113.22916186600,30.55657854820
236,143564106,primary,113.22945102500,30.55617064270
237,143564106,primary,113.22973708600,30.55576058690
238,143564106,primary,113.23001804600,30.55534699140
239,143564106,primary,113.23029900600,30.55493339500
240,143564106,primary,113.23057996600,30.55451979940
241,143564106,primary,113.23086092600,30.55410620390
242,143564106,primary,113.23114188700,30.55369260840
243,143564106,primary,113.23142284700,30.55327901290
244,143564106,primary,113.23170380800,30.55286541740
245,143564106,primary,113.23198449900,30.55245163930
246,143564106,primary,113.23226411800,30.55203713640
247,143564106,primary,113.23254373700,30.55162263260
248,143564106,primary,113.23282335700,30.55120812970
249,143564106,primary,113.23310297600,30.55079362580
250,143564106,primary,113.23338259500,30.55037912200
251,143564106,primary,113.23366221400,30.54996461910
252,143564106,primary,113.23394183300,30.54955011520
253,143564106,primary,113.23422145300,30.54913561230
254,143564106,primary,113.23450164600,30.54872149700
255,143564106,primary,113.23478189900,30.54830742130
256,143564106,primary,113.23506215200,30.54789334640
257,143564106,primary,113.23534240500,30.54747927160
258,143564106,primary,113.23562265800,30.54706519580
259,143564106,primary,113.23590291100,30.54665112100
260,143564106,primary,113.23618316400,30.54623704520
261,143564106,primary,113.23646341700,30.54582297040
262,143564106,primary,113.23674361400,30.54540885770
263,143564106,primary,113.23702380400,30.54499473970
264,143564106,primary,113.23730399500,30.54458062260
265,143564106,primary,113.23758418500,30.54416650460
266,143564106,primary,113.23786437600,30.54375238750
267,143564106,primary,113.23814456600,30.54333826940
268,143564106,primary,113.23842475600,30.54292415230
269,143564106,primary,113.23870494700,30.54251003520
270,143564106,primary,113.23898312100,30.54209456100
271,143564106,primary,113.23926117600,30.54167900680
272,143564106,primary,113.23953923100,30.54126345160
273,143564106,primary,113.23981728600,30.54084789740
274,143564106,primary,113.24009818100,30.54043432980
275,143564106,primary,113.24039320300,30.54003064390
276,143564106,primary,113.24068822400,30.53962695800
277,143564106,primary,113.24098324600,30.53922327210
278,143564106,primary,113.24127826700,30.53881958630
279,143564106,primary,113.24157820900,30.53841962270
280,143564106,primary,113.24188642900,30.53802592200
281,143564106,primary,113.24219464900,30.53763222130
282,143564106,primary,113.24250287100,30.53723852050
283,143564106,primary,113.24282176900,30.53685343260
284,143564106,primary,113.24314124700,30.53646881060
285,143564106,primary,113.24346072500,30.53608418850
286,143564106,primary,113.24378020200,30.53569956650
287,143564106,primary,113.24410635500,30.53532060210
288,143564106,primary,113.24443341200,30.53494240390
289,143564106,primary,113.24476046900,30.53456420570
290,143564106,primary,113.24508752600,30.53418600840
291,143564106,primary,113.24542845700,30.53382031620
292,143564106,primary,113.24577080300,30.53345589920
293,143564106,primary,113.24611314900,30.53309148310
294,143564106,primary,113.24645549400,30.53272706700
295,143564106,primary,113.24679847100,30.53236325350
296,143564106,primary,113.24714684600,30.53200459660
297,143564106,primary,113.24749522100,30.53164593890
298,143564106,primary,113.24784359600,30.53128728210
299,143564106,primary,113.24819197200,30.53092862530
300,143564106,primary,113.24855226900,30.53058206700
301,143564106,primary,113.24891599600,30.53023898910
302,143564106,primary,113.24927972300,30.52989591130
303,143564106,primary,113.24964345100,30.52955283250
304,143564106,primary,113.25000717800,30.52920975460
305,143564106,primary,113.25037974300,30.52887648030
306,143564106,primary,113.25075857600,30.52855015950
307,143564106,primary,113.25113740900,30.52822383780
308,143564106,primary,113.25151624100,30.52789751700
309,143564106,primary,113.25189507400,30.52757119530
310,143564106,primary,113.25227390700,30.52724487450
311,143564106,primary,113.25265274100,30.52691855270
312,143564106,primary,113.25303884300,30.52660089960
313,143564106,primary,113.25342615700,30.52628469260
314,143564106,primary,113.25381347300,30.52596848470
315,143564106,primary,113.25420078800,30.52565227760
316,143564106,primary,113.25458810300,30.52533607060
317,143564106,primary,113.25497541800,30.52501986270
318,143564106,primary,113.25536273300,30.52470365560
319,143564106,primary,113.25574991700,30.52438728760
320,143564106,primary,113.25613690800,30.52407068490
321,143564106,primary,113.25652390000,30.52375408130
322,143564106,primary,113.25691089100,30.52343747770
323,143564106,primary,113.25729788300,30.52312087490
324,143564106,primary,113.25768487400,30.52280427130
325,143564106,primary,113.25807174700,30.52248752380
326,143564106,primary,113.25845785500,30.52216984370
327,143564106,primary,113.25884396300,30.52185216350
328,143564106,primary,113.25923007100,30.52153448340
329,143564106,primary,113.25961617900,30.52121680330
330,143564106,primary,113.26000228600,30.52089912320
331,143564106,primary,113.26038873800,30.52058186310
332,143564106,primary,113.26077588300,30.52026544650
333,143564106,primary,113.26116302800,30.51994902990
334,143564106,primary,113.26155017200,30.51963261340
335,143564106,primary,113.26193731600,30.51931619770
